Dataset,Pattern,Int,Diff
AstroPh,3cf,86.42,2.469
AstroPh,4cf,82.339,2.294
AstroPh,5cf,81.506,3.904
AstroPh,tt,35.659,36.693
AstroPh,cyc,88.508,4.0
AstroPh,dia,26.644,34.256
WikiVote,3cf,90.0,1.25
WikiVote,4cf,90.501,0.792
WikiVote,5cf,87.328,2.069
WikiVote,tt,51.625,26.354
WikiVote,cyc,92.836,3.549
WikiVote,dia,38.587,36.413
Patents,3cf,67.921,0.473
Patents,4cf,68.211,0.33
Patents,5cf,69.685,0.188
Patents,tt,62.946,9.587
Patents,cyc,78.413,3.202
Patents,dia,58.566,3.605
MiCo,3cf,89.017,2.119
MiCo,4cf,92.64,1.696
MiCo,5cf,92.319,2.137
MiCo,tt,27.328,43.266
MiCo,cyc,93.284,2.907
MiCo,dia,15.631,45.34
