Pattern,Dataset,Int,Diff,
P0,wiki-Vote.txt,90.454,4.147,
P0,cit-Patents.txt,74.306,4.08,
P0,com-dblp.ungraph.txt,64.832,7.645,
P0,com-youtube.ungraph.txt,95.976,1.422,
P2,wiki-Vote.txt,74.286,11.429,
P2,cit-Patents.txt,57.779,5.438,
P2,com-dblp.ungraph.txt,50.0,10.606,
P2,com-youtube.ungraph.txt,90.393,1.571,
P3,wiki-Vote.txt,88.172,6.452,
P3,cit-Patents.txt,60.521,9.465,
P3,com-dblp.ungraph.txt,44.706,23.529,
P3,com-youtube.ungraph.txt,91.067,2.376,
P4,wiki-Vote.txt,95.714,0.714,
P4,cit-Patents.txt,64.926,0.221,
P4,com-dblp.ungraph.txt,65.094,4.717,
P4,com-youtube.ungraph.txt,96.582,0.148,
P5,wiki-Vote.txt,89.463,1.59,
P5,cit-Patents.txt,67.118,0.129,
P5,com-dblp.ungraph.txt,73.111,6.128,
P5,com-youtube.ungraph.txt,96.924,0.15,
P6,wiki-Vote.txt,87.906,7.823,
P6,cit-Patents.txt,67.783,11.066,
P6,com-dblp.ungraph.txt,59.431,19.3,
P6,com-youtube.ungraph.txt,97.37,1.035,
